descripcion;cantidad;unidad
Montaje de tubería PE100, ø 25 mm, 1,0 MPa, colocada.;121450;metros
Montaje de tubería PE100, ø 32 mm, 1,0 MPa, colocada.;90202;metros
Montaje de tubería PE100, ø 40 mm, 1,0 MPa, colocada.;67386;metros
Montaje de tubería PE100, ø 50 mm, 1,0 MPa, colocada.;67383;metros
Montaje de tubería PE100, ø 63 mm, 1,0 MPa, colocada.;32687;metros
Montaje de tubería PE100, ø 75 mm, 1,0 MPa, colocada.;12050;metros
Montaje de tubería PE100, ø 90 mm, 1,0 MPa, colocada.;7956;metros
