descripcion,cantidad,unidad,ubicaion,referencia
"Montaje de tubería PE100, ø 25 mm, 1,0 MPa, colocada",109.449,m,"Pág. 3, apartado 2",
"Montaje de tubería PE100, ø 32 mm, 1,0 MPa, colocada",92.249,m,"Pág. 3, apartado 2",
"Montaje de tubería PE100, ø 40 mm, 1,0 MPa, colocada",67.386,m,"Pág. 3, apartado 2",
"Montaje de tubería PE100, ø 50 mm, 1,0 MPa, colocada",67.383,m,"Pág. 3, apartado 2",
"Montaje de tubería PE100, ø 63 mm, 1,0 MPa, colocada",32.687,m,"Pág. 3, apartado 2",
"Montaje de tubería PE100, ø 75 mm, 1,0 MPa, colocada",12.050,m,"Pág. 3, apartado 2",
"Montaje de tubería PE100, ø 90 mm, 1,0 MPa, colocada",7.956,m,"Pág. 3, apartado 2",
