descripcion,cantidad,unidad,precio_unitario,importe
"Montaje de tubería PE100, ø 25 mm",121450 metros,metros,1.27,154241.5
"Montaje de tubería PE100, ø 32 mm",90202 metros,metros,1.5,135303.0
"Montaje de tubería PE100, ø 40 mm",67386 metros,metros,1.78,119947.08
"Montaje de tubería PE100, ø 50 mm",67383 metros,metros,2.0,134766.0
"Montaje de tubería PE100, ø 63 mm",32687 metros,metros,2.29,74853.23
"Montaje de tubería PE100, ø 75 mm",12050 metros,metros,2.51,30245.5
"Montaje de tubería PE100, ø 90 mm",7956 metros,metros,2.79,22197.24
